algo,mode,L,beamwidth,trial,threads,qps,mean_us,p999_us,mean_ios,recall10,peak_rss_mb,wall_s
diskann,cold,10,1,1,1,704.4415893554688,1418.8521,43184.0,17.8657,81.487,1040.0,14.98
diskann,cold,10,1,2,1,726.2220458984375,1376.2605,5607.0,17.8657,81.487,1040.0,14.56
diskann,cold,10,1,3,1,717.9661254882812,1392.096,6129.0,17.8657,81.487,1040.5,14.72
diskann,cold,20,1,1,1,481.97698974609375,2074.0291,7367.0,27.2762,91.128,1040.3,21.53
diskann,cold,20,1,2,1,483.300048828125,2068.3845,19710.0,27.2762,91.128,1040.1,21.47
diskann,cold,20,1,3,1,484.83526611328125,2061.8252,6934.0,27.2762,91.128,1040.3,21.44
diskann,cold,30,1,1,1,359.789794921875,2778.6344,38707.0,36.8977,94.708,1040.3,28.58
diskann,cold,30,1,2,1,365.8029479980469,2732.9482,7334.0,36.8977,94.708,1040.0,28.25
diskann,cold,30,1,3,1,367.30218505859375,2721.7897,8656.0,36.8977,94.708,1040.6,28.0
diskann,cold,50,1,1,1,242.1488037109375,4128.8958,13277.0,56.453,97.411,1039.6,42.09
diskann,cold,50,1,2,1,239.24667358398438,4178.9791,64999.0,56.453,97.411,1040.2,42.57
diskann,cold,50,1,3,1,241.80052185058594,4134.8521,14402.0,56.453,97.411,1040.3,42.15
diskann,cold,75,1,1,1,168.29920959472656,5940.9042,76509.0,81.1598,98.709,1040.6,60.19
diskann,cold,75,1,2,1,167.37889099121094,5973.6591,77647.0,81.1598,98.709,1040.4,60.52
diskann,cold,75,1,3,1,168.03404235839844,5950.3271,53773.0,81.1598,98.709,1040.3,60.29
diskann,cold,100,1,1,1,129.72581481933594,7707.7321,62928.0,105.9727,99.242,1040.4,77.85
diskann,cold,100,1,2,1,130.2634735107422,7675.9104,74961.0,105.9727,99.242,1040.1,77.54
diskann,cold,100,1,3,1,129.73458862304688,7707.1843,59422.0,105.9727,99.242,1040.6,77.88
diskann,cold,150,1,1,1,89.24545288085938,11204.1808,73428.0,155.7473,99.685,1040.3,112.83
diskann,cold,150,1,2,1,89.37654113769531,11187.7043,77816.0,155.7473,99.685,1038.8,112.69
diskann,cold,150,1,3,1,88.9352035522461,11243.2921,99870.0,155.7473,99.685,1040.0,113.22
diskann,cold,10,2,1,1,998.9300537109375,1000.3731,3223.0,21.8621,82.745,1039.7,10.79
diskann,cold,10,2,2,1,1008.5543212890625,990.8201,2929.0,21.8621,82.745,1039.8,10.71
diskann,cold,10,2,3,1,1002.1625366210938,997.1229,3064.0,21.8621,82.745,1040.4,10.77
diskann,cold,20,2,1,1,725.3515625,1377.9167,4023.0,31.012,91.615,1040.1,14.61
diskann,cold,20,2,2,1,722.6724853515625,1383.0256,4448.0,31.012,91.615,1040.1,14.65
diskann,cold,20,2,3,1,722.5650024414062,1383.2212,4661.0,31.012,91.615,1040.5,14.62
diskann,cold,30,2,1,1,564.6702880859375,1770.1988,5462.0,40.4351,94.885,1039.8,18.48
diskann,cold,30,2,2,1,564.6568603515625,1770.2543,5680.0,40.4351,94.885,1040.8,18.48
diskann,cold,30,2,3,1,565.2162475585938,1768.4943,5712.0,40.4351,94.885,1039.9,18.46
diskann,cold,50,2,1,1,389.0882263183594,2569.3351,6513.0,59.7739,97.484,1040.6,26.52
diskann,cold,50,2,2,1,389.5938415527344,2565.9865,6584.0,59.7739,97.484,1039.7,26.44
diskann,cold,50,2,3,1,389.2517395019531,2568.2732,6823.0,59.7739,97.484,1040.4,26.52
diskann,cold,75,2,1,1,280.0575256347656,3569.8874,7561.0,84.3375,98.727,1040.3,36.48
diskann,cold,75,2,2,1,280.76513671875,3560.9038,7939.0,84.3375,98.727,1040.3,36.42
diskann,cold,75,2,3,1,256.0010986328125,3905.4344,25999.0,84.3375,98.727,1040.7,39.97
diskann,cold,100,2,1,1,219.127685546875,4562.7399,8964.0,109.0395,99.256,1040.3,46.49
diskann,cold,100,2,2,1,218.56996154785156,4574.3617,8823.0,109.0395,99.256,1039.8,46.53
diskann,cold,100,2,3,1,218.636474609375,4572.9666,8758.0,109.0395,99.256,1040.4,46.53
diskann,cold,150,2,1,1,151.57957458496094,6596.3375,13162.0,158.6846,99.69,1040.6,66.76
diskann,cold,150,2,2,1,151.73605346679688,6589.5214,12516.0,158.6846,99.69,1040.0,66.71
diskann,cold,150,2,3,1,152.0932159423828,6574.0498,13253.0,158.6846,99.69,1040.8,66.53
diskann,cold,10,4,1,1,1136.6695556640625,879.0558,3113.0,30.1424,84.97,1040.7,9.57
diskann,cold,10,4,2,1,1135.4482421875,879.9876,2507.0,30.1424,84.97,1040.5,9.63
diskann,cold,10,4,3,1,1111.7974853515625,898.728,4109.0,30.1424,84.97,1040.2,9.78
diskann,cold,20,4,1,1,899.669677734375,1110.7775,4540.0,38.7502,92.517,1040.8,11.89
diskann,cold,20,4,2,1,910.220947265625,1097.9199,3929.0,38.7502,92.517,1040.3,11.74
diskann,cold,20,4,3,1,908.1857299804688,1100.3505,4179.0,38.7502,92.517,1040.3,11.8
diskann,cold,30,4,1,1,757.9906005859375,1318.5436,4018.0,47.78,95.273,1040.8,13.96
diskann,cold,30,4,2,1,755.9566040039062,1322.0714,4029.0,47.78,95.273,1040.6,14.0
diskann,cold,30,4,3,1,759.7926025390625,1315.4212,4530.0,47.78,95.273,1040.8,13.93
diskann,cold,50,4,1,1,560.9585571289062,1781.8959,5492.0,66.671,97.627,1040.8,18.61
diskann,cold,50,4,2,1,558.8612670898438,1788.5789,5047.0,66.671,97.627,1039.7,18.68
diskann,cold,50,4,3,1,563.5631103515625,1773.6407,5761.0,66.671,97.627,1040.5,18.54
diskann,cold,75,4,1,1,422.4493713378906,2366.3267,6500.0,90.9304,98.795,1040.2,24.51
diskann,cold,75,4,2,1,423.8940124511719,2358.302,5958.0,90.9304,98.795,1040.0,24.38
diskann,cold,75,4,3,1,421.0104064941406,2374.4599,6237.0,90.9304,98.795,1040.7,24.54
diskann,cold,100,4,1,1,334.9402770996094,2984.7986,7323.0,115.4167,99.291,1040.6,30.63
diskann,cold,100,4,2,1,336.8363342285156,2967.9939,7762.0,115.4167,99.291,1040.5,30.47
diskann,cold,100,4,3,1,337.39202880859375,2963.1097,6886.0,115.4167,99.291,1040.1,30.44
diskann,cold,150,4,1,1,241.85914611816406,4133.8157,8336.0,164.795,99.7,1040.5,42.14
diskann,cold,150,4,2,1,241.32070922851562,4143.0344,8528.0,164.795,99.7,1040.3,42.24
diskann,cold,150,4,3,1,240.43765258789062,4158.2379,8832.0,164.795,99.7,1040.6,42.36
diskann,cold,10,8,1,1,1027.8782958984375,972.1255,3395.0,47.0337,87.66,1040.8,10.51
diskann,cold,10,8,2,1,1021.4911499023438,978.2162,3046.0,47.0337,87.66,1040.6,10.58
diskann,cold,10,8,3,1,1029.7491455078125,970.3637,3020.0,47.0337,87.66,1039.8,10.5
diskann,cold,20,8,1,1,900.5256958007812,1109.7174,4219.0,55.0594,93.923,1039.9,11.89
diskann,cold,20,8,2,1,893.9114990234375,1117.9186,3937.0,55.0594,93.923,1040.1,11.97
diskann,cold,20,8,3,1,908.7418823242188,1099.6789,3759.0,55.0594,93.923,1040.3,11.81
diskann,cold,30,8,1,1,809.9772338867188,1233.8473,3663.0,63.2747,95.965,1040.2,13.17
diskann,cold,30,8,2,1,806.2579956054688,1239.534,3519.0,63.2747,95.965,1039.6,13.19
diskann,cold,30,8,3,1,809.8329467773438,1234.0754,3894.0,63.2747,95.965,1040.6,13.13
diskann,cold,50,8,1,1,650.8224487304688,1535.7458,4830.0,81.1162,97.865,1040.7,16.15
diskann,cold,50,8,2,1,648.3054809570312,1541.7065,4118.0,81.1162,97.865,1040.4,16.26
diskann,cold,50,8,3,1,651.0186767578125,1535.2729,4739.0,81.1162,97.865,1039.5,16.17
diskann,cold,75,8,1,1,520.8097534179688,1919.2967,5433.0,104.6055,98.868,1040.2,19.99
diskann,cold,75,8,2,1,521.8202514648438,1915.5754,5583.0,104.6055,98.868,1040.7,19.97
diskann,cold,75,8,3,1,518.6885375976562,1927.1441,4998.0,104.6055,98.868,1040.8,20.06
diskann,cold,100,8,1,1,427.6025390625,2337.8133,5456.0,128.6695,99.315,1040.3,24.16
diskann,cold,100,8,2,1,433.7108459472656,2304.8614,5563.0,128.6695,99.315,1040.4,23.9
diskann,cold,100,8,3,1,431.059326171875,2319.0708,5986.0,128.6695,99.315,1040.8,23.98
