algo,mode,probes,trial,threads,recall10,recall1,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,ios_per_q,simd_avoided,peak_rss_mb,wall_s
tapeann,direct,10,1,1,75.678,80.51,1217.8881,0.8211,0.7693,1.2577,1.5943,2.1716,10.0,18579940,78.2,8.56
tapeann,direct,10,2,1,75.678,80.51,1215.8786,0.8225,0.7698,1.2597,1.602,2.1755,10.0,18567282,78.2,8.57
tapeann,direct,10,3,1,75.678,80.51,1214.7917,0.8232,0.7711,1.2645,1.5991,2.1454,10.0,18573800,78.0,8.58
tapeann,direct,25,1,1,88.353,91.16,672.0929,1.4879,1.3891,2.2565,2.9066,3.7464,25.0,56607122,92.0,15.25
tapeann,direct,25,2,1,88.353,91.16,671.7773,1.4886,1.3902,2.2619,2.9066,3.8094,25.0,56606175,91.8,15.25
tapeann,direct,25,3,1,88.353,91.16,672.8982,1.4861,1.3868,2.2493,2.925,3.7772,25.0,56592743,92.2,15.23
tapeann,direct,50,1,1,94.044,95.55,401.6659,2.4896,2.318,3.7343,4.8199,5.7298,50.0,130641700,115.0,25.26
tapeann,direct,50,2,1,94.044,95.55,402.1752,2.4865,2.3169,3.7254,4.8144,5.9461,50.0,130701641,114.8,25.22
tapeann,direct,50,3,1,94.044,95.55,401.7338,2.4892,2.3245,3.7313,4.8295,5.4312,50.0,130821994,114.0,25.28
tapeann,direct,100,1,1,97.158,98.01,228.4901,4.3766,4.0912,6.4444,7.9458,9.2311,100.0,303221836,160.0,44.11
tapeann,direct,100,2,1,97.158,98.01,228.1364,4.3833,4.0932,6.4648,7.9339,9.3802,100.0,303275419,159.5,44.18
tapeann,direct,100,3,1,97.158,98.01,227.9055,4.3878,4.1027,6.4442,7.9542,9.2199,100.0,303322173,160.0,44.23
tapeann,direct,150,1,1,98.029,98.43,160.7241,6.2218,5.8248,8.9797,10.7693,13.274,150.0,497717321,204.0,62.57
tapeann,direct,150,2,1,98.029,98.43,160.7935,6.2192,5.815,8.9817,10.7648,12.8383,150.0,497969653,204.0,62.55
tapeann,direct,150,3,1,98.029,98.43,160.7179,6.2221,5.8266,9.0301,10.7403,12.1194,150.0,499039596,203.5,62.59
tapeann,direct,200,1,1,98.409,98.67,119.1008,8.3962,7.6305,12.6239,17.6972,42.0158,200.0,708785466,247.2,84.32
tapeann,direct,200,2,1,98.409,98.67,124.397,8.0388,7.5418,11.4748,13.4133,15.7476,200.0,708017905,246.8,80.74
tapeann,direct,200,3,1,98.409,98.67,124.4958,8.0324,7.5396,11.4355,13.3305,14.9459,200.0,708916942,247.5,80.67
tapeann,direct,256,1,1,98.621,98.78,99.6512,10.035,9.4673,14.0576,16.3072,19.3264,256.0,958939792,295.5,100.7
