algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,bytes_per_query_app_median,bytes_per_query_app_iqr,ios_per_query_median,ios_per_query_iqr,p95_ms_median,p95_ms_iqr,p99_ms_median,p99_ms_iqr,p999_ms_median,p999_ms_iqr
tapeann,tape_int8,sift10m,warm,,"{""probes"": 10}",1,3,75.678,0.0,0.3456,0.0127,2893.3168,102.9028,0.0,0.0,1834845.4,0.0,10.0,0.0,0.5783,0.0225,0.8188,0.0304,1.0642,0.0783
tapeann,tape_int8,sift10m,warm,,"{""probes"": 15}",1,3,81.961,0.0,0.4767,0.027,2097.6502,119.3463,0.0,0.0,2728652.4,0.0,15.0,0.0,0.8189,0.0333,1.1558,0.053,1.4435,0.0993
tapeann,tape_int8,sift10m,warm,,"{""probes"": 20}",1,3,85.753,0.0,0.5978,0.0117,1672.7218,32.7067,0.0,0.0,3614573.4,0.0,20.0,0.0,1.023,0.041,1.4351,0.0843,1.7897,0.2084
tapeann,tape_int8,sift10m,warm,,"{""probes"": 25}",1,3,88.353,0.0,0.7518,0.0333,1330.08,60.758,0.0,0.0,4490868.3,0.0,25.0,0.0,1.2995,0.0403,1.8335,0.059,2.3499,0.0663
tapeann,tape_int8,sift10m,warm,,"{""probes"": 30}",1,3,90.128,0.0,0.8879,0.0091,1126.1895,11.5064,0.0,0.0,5360564.6,0.0,30.0,0.0,1.5375,0.0079,2.1505,0.0332,2.7948,0.1351
tapeann,tape_int8,sift10m,warm,,"{""probes"": 35}",1,3,91.499,0.0,1.025,0.0187,975.564,17.9748,0.0,0.0,6224980.4,0.0,35.0,0.0,1.7966,0.0441,2.4991,0.0898,3.1809,0.2845
tapeann,tape_int8,sift10m,warm,,"{""probes"": 40}",1,3,92.549,0.0,1.1639,0.0133,859.1459,9.8552,0.0,0.0,7084514.9,0.0,40.0,0.0,2.0344,0.0431,2.8344,0.0418,3.5013,0.0614
tapeann,tape_int8,sift10m,warm,,"{""probes"": 50}",1,3,94.044,0.0,1.4356,0.0301,696.5556,14.7355,0.0,0.0,8788229.7,0.0,50.0,0.0,2.499,0.0584,3.4625,0.1135,4.1663,0.1631
tapeann,tape_int8,sift10m,warm,,"{""probes"": 70}",1,3,95.858,0.0,2.0322,0.049,492.0813,11.9385,0.0,0.0,12156692.1,0.0,70.0,0.0,3.4996,0.0858,4.7706,0.1193,5.8199,0.15
tapeann,tape_int8,sift10m,warm,,"{""probes"": 100}",1,3,97.158,0.0,2.9664,0.0945,337.1118,10.5907,0.0,0.0,17136076.4,0.0,100.0,0.0,5.0787,0.1898,6.6089,0.4107,7.6291,0.6514
tapeann,tape_int8,sift10m,warm,,"{""probes"": 150}",1,3,98.029,0.0,4.6792,0.1131,213.7119,5.2079,0.0,0.0,25298538.5,0.0,150.0,0.0,7.4229,0.1403,9.2955,0.1403,10.4648,0.8834
tapeann,tape_int8,sift10m,warm,,"{""probes"": 200}",1,3,98.409,0.0,6.1641,0.2057,162.2288,5.4439,0.0,0.0,33347978.9,0.0,200.0,0.0,9.5621,0.2794,11.7065,0.3866,13.1006,0.0667
tapeann,tape_int8,sift10m,warm,,"{""probes"": 300}",1,3,98.704,0.0,9.0535,0.144,110.4539,1.784,0.0,0.0,49240021.4,0.0,300.0,0.0,13.5093,0.1975,15.9927,0.0819,18.3206,0.7049
tapeann,tape_int8,sift10m,warm,,"{""probes"": 500}",1,3,98.853,0.0,14.5493,0.0162,68.7317,0.0768,0.0,0.0,80516422.9,0.0,500.0,0.0,20.8647,0.1348,23.5736,0.3249,27.11,1.4163
tapeann,tape_int8,sift10m,warm,,"{""probes"": 750}",1,3,98.881,0.0,21.1737,0.0421,47.2284,0.0936,0.0,0.0,119079824.6,0.0,750.0,0.0,29.3506,0.0377,32.7577,0.2065,38.4837,1.8421
tapeann,tape_int8,sift10m,warm,,"{""probes"": 1000}",1,3,98.889,0.0,27.561,0.0965,36.2832,0.1268,0.0,0.0,157302132.7,0.0,1000.0,0.0,37.3645,0.1516,40.9328,0.4406,46.7961,0.268
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 10, ""W"": 1}",1,3,79.128,0.0,1.015,0.0084,984.5397,8.259,137756.3,64810.2,73893.1,0.0,18.0403,0.0,1.343,0.034,,,2.841,0.863
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 10, ""W"": 2}",1,3,80.444,0.0,0.7122,0.0022,1402.7823,4.4135,142143.1,53.7,90361.4,0.0,22.0609,0.0,0.951,0.004,,,3.13,0.858
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 10, ""W"": 4}",1,3,82.401,0.0,0.5891,0.0036,1695.3853,10.3094,152415.8,0.0,125155.3,0.0,30.5555,0.0,0.809,0.005,,,2.134,0.752
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 20, ""W"": 1}",1,3,90.878,0.0,1.6637,0.0101,600.7871,3.6236,175625.0,0.0,112566.3,0.0,27.482,0.0,1.999,0.023,,,4.805,0.567
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 20, ""W"": 2}",1,3,91.39,0.0,1.0789,0.0031,926.2366,2.6609,178965.3,0.0,127905.4,0.0,31.2269,0.0,1.322,0.006,,,3.561,0.471
