algo,variant,dataset,mode,ram_cap_bytes,threads,target_recall,achieved_recall,params_json,mean_ms,qps,p95_ms,p99_ms,p999_ms,bytes_read_per_query,bytes_per_query_app,ios_per_query,n_trials,distance_to_target
tapeann,tape_int8,sift10m,warm,,1,85.0,85.753,"{""probes"": 20}",0.5978,1672.7218,1.023,1.4351,1.7897,0.0,3614573.4,20.0,3,0.753
tapeann,tape_int8,sift10m,warm,,1,90.0,90.128,"{""probes"": 30}",0.8879,1126.1895,1.5375,2.1505,2.7948,0.0,5360564.6,30.0,3,0.128
tapeann,tape_int8,sift10m,warm,,1,95.0,95.858,"{""probes"": 70}",2.0322,492.0813,3.4996,4.7706,5.8199,0.0,12156692.1,70.0,3,0.858
tapeann,tape_int8,sift10m,warm,,1,97.0,97.158,"{""probes"": 100}",2.9664,337.1118,5.0787,6.6089,7.6291,0.0,17136076.4,100.0,3,0.158
tapeann,tape_int8,sift10m,warm,,1,99.0,98.889,"{""probes"": 1000}",27.561,36.2832,37.3645,40.9328,46.7961,0.0,157302132.7,1000.0,3,0.111
diskann,diskann_fp32_pq64,sift10m,warm,,1,85.0,82.401,"{""L"": 10, ""W"": 4}",0.5891,1695.3853,0.809,,2.134,152415.8,125155.3,30.5555,3,2.599
diskann,diskann_fp32_pq64,sift10m,warm,,1,90.0,90.878,"{""L"": 20, ""W"": 1}",1.6637,600.7871,1.999,,4.805,175625.0,112566.3,27.482,3,0.878
diskann,diskann_fp32_pq64,sift10m,warm,,1,95.0,95.183,"{""L"": 30, ""W"": 4}",1.0122,987.2637,1.248,,3.317,223399.5,197390.7,48.1911,3,0.183
diskann,diskann_fp32_pq64,sift10m,warm,,1,97.0,97.409,"{""L"": 50, ""W"": 1}",3.6731,272.1869,4.034,,7.907,292372.5,231785.3,56.5882,3,0.409
diskann,diskann_fp32_pq64,sift10m,warm,,1,99.0,98.801,"{""L"": 75, ""W"": 4}",2.0171,495.5657,2.313,,5.739,396582.1,374020.5,91.3136,3,0.199
diskann,diskann_uint8_pq32,sift10m,warm,,1,85.0,85.909,"{""L"": 20, ""W"": 1}",1.6597,602.2542,2.003,,4.633,176869.8,114092.0,27.8545,3,0.909
diskann,diskann_uint8_pq32,sift10m,warm,,1,90.0,92.131,"{""L"": 30, ""W"": 1}",2.3241,430.1252,2.658,,6.38,215302.6,153295.3,37.4256,3,2.131
diskann,diskann_uint8_pq32,sift10m,warm,,1,95.0,96.579,"{""L"": 50, ""W"": 1}",3.6792,271.7361,4.046,,7.835,293786.8,233340.1,56.9678,3,1.579
diskann,diskann_uint8_pq32,sift10m,warm,,1,97.0,96.775,"{""L"": 50, ""W"": 4}",1.4458,691.2669,1.667,,4.101,301355.4,276853.6,67.5912,3,0.225
diskann,diskann_uint8_pq32,sift10m,warm,,1,99.0,99.044,"{""L"": 100, ""W"": 1}",7.0488,141.8506,7.633,,13.549,492375.2,436082.7,106.4655,3,0.044
diskann,diskann_uint8_pq64,sift10m,warm,,1,85.0,82.363,"{""L"": 10, ""W"": 4}",0.6272,1592.6722,0.84,,2.334,152632.5,125403.1,30.616,3,2.637
diskann,diskann_uint8_pq64,sift10m,warm,,1,90.0,90.859,"{""L"": 20, ""W"": 1}",1.6734,597.318,2.012,,5.287,175743.4,112729.3,27.5218,3,0.859
diskann,diskann_uint8_pq64,sift10m,warm,,1,95.0,95.198,"{""L"": 30, ""W"": 4}",1.0483,953.203,1.275,,3.598,223764.9,197765.9,48.2827,3,0.198
diskann,diskann_uint8_pq64,sift10m,warm,,1,97.0,97.377,"{""L"": 50, ""W"": 1}",3.6872,271.1461,4.084,,8.542,292542.5,232067.5,56.6571,3,0.377
diskann,diskann_uint8_pq64,sift10m,warm,,1,99.0,98.79,"{""L"": 75, ""W"": 4}",2.0547,486.4887,2.334,,5.622,396885.6,374326.9,91.3884,3,0.21
tapeann,tape_int8,sift10m,ram_capped_1p5gb,1610612736,1,85.0,85.753,"{""probes"": 20}",0.753,1328.077,1.2662,1.829,2.9041,321334.5,3614573.4,20.0,3,0.753
tapeann,tape_int8,sift10m,ram_capped_1p5gb,1610612736,1,90.0,90.128,"{""probes"": 30}",1.0542,948.5987,1.7807,2.6016,3.7532,426047.9,5360564.6,30.0,3,0.128
tapeann,tape_int8,sift10m,ram_capped_1p5gb,1610612736,1,95.0,95.858,"{""probes"": 70}",2.3854,419.213,3.9247,5.4816,6.9999,965229.4,12156692.1,70.0,3,0.858
tapeann,tape_int8,sift10m,ram_capped_1p5gb,1610612736,1,97.0,97.158,"{""probes"": 100}",3.4939,286.2144,5.5723,7.1856,9.7131,1527214.5,17136076.4,100.0,3,0.158
tapeann,tape_int8,sift10m,ram_capped_1p5gb,1610612736,1,99.0,98.889,"{""probes"": 1000}",75.3032,13.2796,135.3327,183.7935,262.3233,213477892.9,157302132.7,1000.0,3,0.111
diskann,diskann_fp32_pq64,sift10m,ram_capped_1p5gb,1610612736,1,85.0,82.401,"{""L"": 10, ""W"": 4}",0.8966,1114.4701,1.128,,3.336,191860.3,125155.3,30.5555,3,2.599
diskann,diskann_fp32_pq64,sift10m,ram_capped_1p5gb,1610612736,1,90.0,90.878,"{""L"": 20, ""W"": 1}",2.072,482.4553,2.376,,12.11,179227.9,112566.3,27.482,3,0.878
diskann,diskann_fp32_pq64,sift10m,ram_capped_1p5gb,1610612736,1,95.0,95.183,"{""L"": 30, ""W"": 4}",1.3363,747.9142,1.596,,4.713,264098.6,197390.7,48.1911,3,0.183
diskann,diskann_fp32_pq64,sift10m,ram_capped_1p5gb,1610612736,1,97.0,97.409,"{""L"": 50, ""W"": 1}",4.0934,244.2482,4.418,,13.424,298493.1,231785.3,56.5882,3,0.409
