algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
tapeann,tape_int8,sift10m,warm,,"{""probes"": 10}",1,1,75.678,0.0,0.3432,0.0,2913.6501,0.0,0.0,0.0,10.0,0.0,0.8212,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 25}",1,1,88.353,0.0,0.7245,0.0,1380.2198,0.0,0.0,0.0,25.0,0.0,1.7646,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 50}",1,1,94.044,0.0,1.3866,0.0,721.2124,0.0,0.0,0.0,50.0,0.0,3.3302,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 100}",1,1,97.158,0.0,2.8866,0.0,346.4343,0.0,0.0,0.0,100.0,0.0,6.2377,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 150}",1,1,98.029,0.0,4.7273,0.0,211.5378,0.0,0.0,0.0,150.0,0.0,9.3654,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 200}",1,1,98.409,0.0,6.1176,0.0,163.4635,0.0,0.0,0.0,200.0,0.0,11.5549,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,warm,,"{""probes"": 256}",1,1,98.621,0.0,7.8591,0.0,127.2415,0.0,0.0,0.0,256.0,0.0,14.2117,0.0,tapeann|tape_int8|sift10m|warm||1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 10}",1,1,75.678,0.0,0.4311,0.0,2319.8851,0.0,167343.3,0.0,10.0,0.0,1.2209,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 25}",1,1,88.353,0.0,0.8436,0.0,1185.3515,0.0,167385.1,0.0,25.0,0.0,2.1608,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 50}",1,1,94.044,0.0,1.5813,0.0,632.3854,0.0,167372.4,0.0,50.0,0.0,3.9847,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 100}",1,1,97.158,0.0,3.2085,0.0,311.6733,0.0,167390.8,0.0,100.0,0.0,7.3645,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 150}",1,1,98.029,0.0,4.9587,0.0,201.6662,0.0,167372.0,0.0,150.0,0.0,10.2764,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 200}",1,1,98.409,0.0,6.4842,0.0,154.2218,0.0,167372.4,0.0,200.0,0.0,12.6149,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
tapeann,tape_int8,sift10m,ram_capped_4gb,4294967296,"{""probes"": 256}",1,1,98.621,0.0,8.2303,0.0,121.5029,0.0,167385.5,0.0,256.0,0.0,15.4758,0.0,tapeann|tape_int8|sift10m|ram_capped_4gb|4294967296|1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 10, ""W"": 2}",1,1,80.444,0.0,0.7122,0.0,1402.6831,0.0,142007.9,0.0,22.0609,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 10, ""W"": 4}",1,1,82.401,0.0,0.5991,0.0,1667.1091,0.0,152415.8,0.0,30.5555,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
