algo,dataset,variant,mode,ram_cap_bytes,params_json,threads,trial,recall1,recall10,recall100,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,bytes_read_total,bytes_read_per_query,bytes_per_query_app,ios_total,ios_per_query,simd_distance_calls,simd_avoided,cpu_user_s,cpu_sys_s,peak_rss_mb,wall_s,commit_sha
tapeann,sift10m,tape_int8,warm,,"{""probes"": 10}",1,1,80.51,75.678,,2805.3545,0.3565,0.321,0.5991,0.8369,1.0709,0,0.0,1834845.4,4509,10.0,,18701734,2.42,3.84,78.8,4.109,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 10}",1,2,80.51,75.678,,2908.2573,0.3438,0.3093,0.5766,0.8065,0.9926,0,0.0,1834845.4,4509,10.0,,18701734,2.32,3.71,78.8,3.993,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 10}",1,3,80.51,75.678,,2893.3168,0.3456,0.3106,0.5783,0.8188,1.0642,0,0.0,1834845.4,4509,10.0,,18701734,2.34,3.74,78.8,4.024,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 15}",1,1,86.01,81.961,,2043.2832,0.4894,0.4402,0.8233,1.1559,1.4435,0,0.0,2728652.4,4509,15.0,,30608910,3.09,5.19,83.2,5.524,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 15}",1,2,86.01,81.961,,2097.6502,0.4767,0.4268,0.8189,1.1558,1.4799,0,0.0,2728652.4,4509,15.0,,30608910,2.91,5.13,83.0,5.415,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 15}",1,3,86.01,81.961,,2162.6295,0.4624,0.4123,0.79,1.1029,1.3806,0,0.0,2728652.4,4509,15.0,,30608910,2.8,4.95,83.5,5.25,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 20}",1,1,89.11,85.753,,1650.8594,0.6057,0.5384,1.0545,1.4926,1.9273,0,0.0,3614573.4,4509,20.0,,43439931,3.63,6.47,88.0,6.902,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 20}",1,2,89.11,85.753,,1672.7218,0.5978,0.534,1.023,1.4351,1.7897,0,0.0,3614573.4,4509,20.0,,43439931,3.48,6.34,87.5,6.697,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 20}",1,3,89.11,85.753,,1683.5661,0.594,0.5319,1.0135,1.4083,1.7189,0,0.0,3614573.4,4509,20.0,,43439931,3.38,6.36,88.2,6.659,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 25}",1,1,91.16,88.353,,1382.4965,0.7233,0.6436,1.2632,1.7854,2.3547,0,0.0,4490868.3,4509,25.0,,57024603,3.89,7.78,92.0,8.036,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 25}",1,2,91.16,88.353,,1330.08,0.7518,0.6737,1.2995,1.8444,2.2884,0,0.0,4490868.3,4509,25.0,,57024603,4.14,8.01,92.2,8.307,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 25}",1,3,91.16,88.353,,1321.7385,0.7566,0.6767,1.3035,1.8335,2.3499,0,0.0,4490868.3,4509,25.0,,57024603,4.18,8.06,92.0,8.365,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 30}",1,1,92.63,90.128,,1120.1316,0.8928,0.7994,1.5375,2.1715,2.7948,0,0.0,5360564.6,4509,30.0,,71195598,4.83,9.53,96.8,9.826,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 30}",1,2,92.63,90.128,,1131.638,0.8837,0.7889,1.5417,2.1505,2.8007,0,0.0,5360564.6,4509,30.0,,71195598,4.7,9.39,96.5,9.691,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 30}",1,3,92.63,90.128,,1126.1895,0.8879,0.796,1.5338,2.1383,2.6656,0,0.0,5360564.6,4509,30.0,,71195598,4.73,9.49,97.2,9.742,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 35}",1,1,93.67,91.499,,989.5993,1.0105,0.9032,1.7539,2.4411,3.1809,0,0.0,6224980.4,4509,35.0,,85951529,5.28,10.73,101.5,11.041,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 35}",1,2,93.67,91.499,,971.6245,1.0292,0.9225,1.7966,2.4991,2.9327,0,0.0,6224980.4,4509,35.0,,85951529,5.55,10.9,100.8,11.286,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 35}",1,3,93.67,91.499,,975.564,1.025,0.9146,1.798,2.5309,3.2172,0,0.0,6224980.4,4509,35.0,,85951529,5.41,10.85,101.0,11.166,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 40}",1,1,94.34,92.549,,863.9419,1.1575,1.0314,2.0271,2.8177,3.5013,0,0.0,7084514.9,4509,40.0,,101190794,5.94,12.37,105.8,12.589,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 40}",1,2,94.34,92.549,,859.1459,1.1639,1.0386,2.0344,2.8344,3.4645,0,0.0,7084514.9,4509,40.0,,101190794,6.01,12.4,105.8,12.659,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 40}",1,3,94.34,92.549,,854.0867,1.1708,1.0464,2.0702,2.8595,3.5259,0,0.0,7084514.9,4509,40.0,,101190794,6.06,12.48,105.5,12.706,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 50}",1,1,95.55,94.044,,692.1674,1.4447,1.2866,2.5276,3.4852,4.1955,0,0.0,8788229.7,4509,50.0,,133107971,7.4,15.3,114.8,15.612,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 50}",1,2,95.55,94.044,,696.5556,1.4356,1.2798,2.499,3.4625,4.1663,0,0.0,8788229.7,4509,50.0,,133107971,7.27,15.25,114.8,15.522,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 50}",1,3,95.55,94.044,,706.9029,1.4146,1.2579,2.4692,3.3717,4.0324,0,0.0,8788229.7,4509,50.0,,133107971,7.12,15.04,114.5,15.323,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,1,96.98,95.858,,492.0813,2.0322,1.8236,3.4996,4.7706,5.6775,0,0.0,12156692.1,4509,70.0,,201166631,10.16,21.59,132.0,21.847,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,2,96.98,95.858,,499.6382,2.0014,1.7966,3.4583,4.7091,5.8199,0,0.0,12156692.1,4509,70.0,,201166631,10.03,21.33,133.0,21.661,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,3,96.98,95.858,,487.6997,2.0504,1.8397,3.5441,4.8284,5.8275,0,0.0,12156692.1,4509,70.0,,201166631,10.21,21.8,132.8,21.993,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 100}",1,1,98.01,97.158,,337.1118,2.9664,2.6683,5.0787,6.6089,7.6291,0,0.0,17136076.4,4509,100.0,,312043839,14.73,31.5,159.8,31.671,bb380a795cd44062da32056f57301d3566b0f422
